Num steps: 595000   Return: 837.0   Time: 1:25:46
Num steps: 600000   Return: 813.6   Time: 1:26:32
Num steps: 605000   Return: 818.8   Time: 1:27:14
Num steps: 610000   Return: 814.6   Time: 1:27:59
Num steps: 615000   Return: 818.3   Time: 1:28:45
Num steps: 620000   Return: 819.2   Time: 1:29:29
Num steps: 625000   Return: 820.4   Time: 1:30:14
Num steps: 630000   Return: 817.0   Time: 1:30:59
Num steps: 635000   Return: 816.4   Time: 1:31:43
Num steps: 640000   Return: 821.2   Time: 1:32:27
Num steps: 645000   Return: 818.5   Time: 1:33:11
Num steps: 650000   Return: 800.7   Time: 1:33:57
Num steps: 655000   Return: 801.3   Time: 1:34:41
Num steps: 660000   Return: 804.6   Time: 1:35:25
Num steps: 665000   Return: 813.5   Time: 1:36:09
Num steps: 670000   Return: 797.4   Time: 1:36:51
Num steps: 675000   Return: 794.2   Time: 1:37:35
Num steps: 680000   Return: 816.1   Time: 1:38:21
Num steps: 685000   Return: 790.9   Time: 1:39:04
Num steps: 690000   Return: 802.4   Time: 1:39:47
Num steps: 695000   Return: 804.5   Time: 1:40:29
Num steps: 700000   Return: 774.3   Time: 1:41:16
Num steps: 705000   Return: 831.3   Time: 1:41:59
Num steps: 710000   Return: 810.3   Time: 1:42:40
Num steps: 715000   Return: 818.6   Time: 1:43:24
Num steps: 720000   Return: 796.2   Time: 1:44:06
Num steps: 725000   Return: 827.2   Time: 1:44:49
Num steps: 730000   Return: 800.0   Time: 1:45:32
Num steps: 735000   Return: 798.8   Time: 1:46:14
Num steps: 740000   Return: 821.6   Time: 1:46:57
Num steps: 745000   Return: 806.2   Time: 1:47:40
Num steps: 750000   Return: 792.6   Time: 1:48:26
Num steps: 755000   Return: 791.3   Time: 1:49:09
Num steps: 760000   Return: 794.5   Time: 1:49:53
Num steps: 765000   Return: 779.7   Time: 1:50:36
Num steps: 770000   Return: 782.2   Time: 1:51:18
Num steps: 775000   Return: 773.8   Time: 1:52:00
Num steps: 780000   Return: 788.4   Time: 1:52:41
Num steps: 785000   Return: 787.5   Time: 1:53:25
Num steps: 790000   Return: 782.4   Time: 1:54:09
Num steps: 795000   Return: 797.9   Time: 1:54:54
Num steps: 800000   Return: 746.6   Time: 1:55:42
Num steps: 805000   Return: 736.4   Time: 1:56:27
Num steps: 810000   Return: 764.0   Time: 1:57:10
Num steps: 815000   Return: 771.4   Time: 1:57:54
Num steps: 820000   Return: 780.5   Time: 1:58:40
Num steps: 825000   Return: 757.3   Time: 1:59:25
Num steps: 830000   Return: 754.7   Time: 2:00:08
Num steps: 835000   Return: 769.9   Time: 2:00:51
Num steps: 840000   Return: 794.6   Time: 2:01:33
Num steps: 845000   Return: 740.3   Time: 2:02:16
Num steps: 850000   Return: 735.6   Time: 2:03:03
Num steps: 855000   Return: 736.5   Time: 2:03:47
Num steps: 860000   Return: 736.4   Time: 2:04:33
Num steps: 865000   Return: 713.4   Time: 2:05:17
Num steps: 870000   Return: 750.5   Time: 2:06:00
Num steps: 875000   Return: 740.6   Time: 2:06:42
Num steps: 880000   Return: 722.2   Time: 2:07:25
Num steps: 885000   Return: 741.0   Time: 2:08:09
Num steps: 890000   Return: 738.5   Time: 2:08:53
Num steps: 895000   Return: 760.1   Time: 2:09:37
Num steps: 900000   Return: 700.7   Time: 2:10:23
Num steps: 905000   Return: 704.1   Time: 2:11:06
Num steps: 910000   Return: 719.2   Time: 2:11:48
Num steps: 915000   Return: 699.8   Time: 2:12:31
Num steps: 920000   Return: 685.5   Time: 2:13:13
Num steps: 925000   Return: 710.9   Time: 2:13:56
Num steps: 930000   Return: 712.7   Time: 2:14:39
Num steps: 935000   Return: 701.6   Time: 2:15:21
Num steps: 940000   Return: 711.1   Time: 2:16:05
Num steps: 945000   Return: 688.2   Time: 2:16:47
Num steps: 950000   Return: 672.2   Time: 2:17:33
Num steps: 955000   Return: 674.4   Time: 2:18:16
Num steps: 960000   Return: 682.7   Time: 2:18:59
Num steps: 965000   Return: 663.4   Time: 2:19:42
Num steps: 970000   Return: 695.6   Time: 2:20:25
Num steps: 975000   Return: 664.6   Time: 2:21:07
Num steps: 980000   Return: 662.4   Time: 2:21:49
Num steps: 985000   Return: 674.5   Time: 2:22:32
