Num steps: 595000   Return: -24.6   Time: 0:44:24
Num steps: 600000   Return: 64.2    Time: 0:44:53
Num steps: 605000   Return: 62.9    Time: 0:45:14
Num steps: 610000   Return: 64.2    Time: 0:45:36
Num steps: 615000   Return: 63.2    Time: 0:45:57
Num steps: 620000   Return: 64.1    Time: 0:46:20
Num steps: 625000   Return: 63.1    Time: 0:46:41
Num steps: 630000   Return: 64.6    Time: 0:47:03
Num steps: 635000   Return: 63.5    Time: 0:47:24
Num steps: 640000   Return: 63.9    Time: 0:47:47
Num steps: 645000   Return: 63.4    Time: 0:48:13
Num steps: 650000   Return: 10.2    Time: 0:48:38
Num steps: 655000   Return: 10.8    Time: 0:49:00
Num steps: 660000   Return: 10.6    Time: 0:49:21
Num steps: 665000   Return: 11.2    Time: 0:49:43
Num steps: 670000   Return: 10.1    Time: 0:50:05
Num steps: 675000   Return: 10.9    Time: 0:50:27
Num steps: 680000   Return: 10.9    Time: 0:50:48
Num steps: 685000   Return: 9.1     Time: 0:51:10
Num steps: 690000   Return: 9.6     Time: 0:51:37
Num steps: 695000   Return: 9.9     Time: 0:51:58
Num steps: 700000   Return: 17.1    Time: 0:52:24
Num steps: 705000   Return: 17.6    Time: 0:52:45
Num steps: 710000   Return: 18.6    Time: 0:53:08
Num steps: 715000   Return: 18.6    Time: 0:53:30
Num steps: 720000   Return: 18.9    Time: 0:53:51
Num steps: 725000   Return: 17.6    Time: 0:54:12
Num steps: 730000   Return: 17.2    Time: 0:54:34
Num steps: 735000   Return: 15.8    Time: 0:55:01
Num steps: 740000   Return: 17.9    Time: 0:55:22
Num steps: 745000   Return: 17.1    Time: 0:55:44
Num steps: 750000   Return: 33.2    Time: 0:56:09
Num steps: 755000   Return: 59.3    Time: 0:56:31
Num steps: 760000   Return: 32.7    Time: 0:56:53
Num steps: 765000   Return: 31.3    Time: 0:57:15
Num steps: 770000   Return: 34.1    Time: 0:57:36
Num steps: 775000   Return: 33.8    Time: 0:57:58
Num steps: 780000   Return: 63.6    Time: 0:58:24
Num steps: 785000   Return: 31.6    Time: 0:58:46
Num steps: 790000   Return: 32.3    Time: 0:59:07
Num steps: 795000   Return: 29.9    Time: 0:59:29
Num steps: 800000   Return: 46.7    Time: 0:59:54
Num steps: 805000   Return: 47.4    Time: 1:00:15
Num steps: 810000   Return: 68.3    Time: 1:00:37
Num steps: 815000   Return: 50.2    Time: 1:00:59
Num steps: 820000   Return: 70.9    Time: 1:01:20
Num steps: 825000   Return: 47.5    Time: 1:01:48
Num steps: 830000   Return: 45.9    Time: 1:02:09
Num steps: 835000   Return: 51.4    Time: 1:02:31
Num steps: 840000   Return: 68.6    Time: 1:02:52
Num steps: 845000   Return: 46.3    Time: 1:03:14
