Num steps: 595000   Return: 300.5   Time: 1:00:26
Num steps: 600000   Return: 289.5   Time: 1:01:00
Num steps: 605000   Return: 290.5   Time: 1:01:32
Num steps: 610000   Return: 286.0   Time: 1:02:03
Num steps: 615000   Return: 275.9   Time: 1:02:34
Num steps: 620000   Return: 275.8   Time: 1:03:05
Num steps: 625000   Return: 272.0   Time: 1:03:36
Num steps: 630000   Return: 288.4   Time: 1:04:08
Num steps: 635000   Return: 282.9   Time: 1:04:39
Num steps: 640000   Return: 274.1   Time: 1:05:10
Num steps: 645000   Return: 290.4   Time: 1:05:41
Num steps: 650000   Return: 286.9   Time: 1:06:15
Num steps: 655000   Return: 284.8   Time: 1:06:46
Num steps: 660000   Return: 296.7   Time: 1:07:18
Num steps: 665000   Return: 289.8   Time: 1:07:49
Num steps: 670000   Return: 296.8   Time: 1:08:20
Num steps: 675000   Return: 284.5   Time: 1:08:51
Num steps: 680000   Return: 292.6   Time: 1:09:22
Num steps: 685000   Return: 295.5   Time: 1:09:53
Num steps: 690000   Return: 289.4   Time: 1:10:24
Num steps: 695000   Return: 294.9   Time: 1:10:55
Num steps: 700000   Return: 283.9   Time: 1:11:30
Num steps: 705000   Return: 284.7   Time: 1:12:02
Num steps: 710000   Return: 274.5   Time: 1:12:33
Num steps: 715000   Return: 279.2   Time: 1:13:05
Num steps: 720000   Return: 272.9   Time: 1:13:36
Num steps: 725000   Return: 277.7   Time: 1:14:08
Num steps: 730000   Return: 281.4   Time: 1:14:39
Num steps: 735000   Return: 287.0   Time: 1:15:10
Num steps: 740000   Return: 289.1   Time: 1:15:42
Num steps: 745000   Return: 291.9   Time: 1:16:13
Num steps: 750000   Return: 288.5   Time: 1:16:49
Num steps: 755000   Return: 295.2   Time: 1:17:20
Num steps: 760000   Return: 283.6   Time: 1:17:52
Num steps: 765000   Return: 287.5   Time: 1:18:23
Num steps: 770000   Return: 289.2   Time: 1:18:54
Num steps: 775000   Return: 276.8   Time: 1:19:25
Num steps: 780000   Return: 290.6   Time: 1:19:55
Num steps: 785000   Return: 280.7   Time: 1:20:25
Num steps: 790000   Return: 280.1   Time: 1:20:56
Num steps: 795000   Return: 279.8   Time: 1:21:27
Num steps: 800000   Return: 288.0   Time: 1:22:02
Num steps: 805000   Return: 282.8   Time: 1:22:33
Num steps: 810000   Return: 276.5   Time: 1:23:04
Num steps: 815000   Return: 282.6   Time: 1:23:35
Num steps: 820000   Return: 294.7   Time: 1:24:07
Num steps: 825000   Return: 288.7   Time: 1:24:38
Num steps: 830000   Return: 280.8   Time: 1:25:10
Num steps: 835000   Return: 283.8   Time: 1:25:41
Num steps: 840000   Return: 282.1   Time: 1:26:13
Num steps: 845000   Return: 289.3   Time: 1:26:44
Num steps: 850000   Return: 288.6   Time: 1:27:18
Num steps: 855000   Return: 288.7   Time: 1:27:50
Num steps: 860000   Return: 291.0   Time: 1:28:22
Num steps: 865000   Return: 293.3   Time: 1:28:53
Num steps: 870000   Return: 292.6   Time: 1:29:25
Num steps: 875000   Return: 300.7   Time: 1:29:57
Num steps: 880000   Return: 296.3   Time: 1:30:28
Num steps: 885000   Return: 300.9   Time: 1:30:59
Num steps: 890000   Return: 287.9   Time: 1:31:31
Num steps: 895000   Return: 304.9   Time: 1:32:03
Num steps: 900000   Return: 281.7   Time: 1:32:37
Num steps: 905000   Return: 283.8   Time: 1:33:08
Num steps: 910000   Return: 293.6   Time: 1:33:39
Num steps: 915000   Return: 295.7   Time: 1:34:10
Num steps: 920000   Return: 296.3   Time: 1:34:42
Num steps: 925000   Return: 309.1   Time: 1:35:13
Num steps: 930000   Return: 287.2   Time: 1:35:44
Num steps: 935000   Return: 289.2   Time: 1:36:15
Num steps: 940000   Return: 286.1   Time: 1:36:46
Num steps: 945000   Return: 289.3   Time: 1:37:18
Num steps: 950000   Return: 295.0   Time: 1:37:53
Num steps: 955000   Return: 290.7   Time: 1:38:24
Num steps: 960000   Return: 293.5   Time: 1:38:56
Num steps: 965000   Return: 302.7   Time: 1:39:27
Num steps: 970000   Return: 296.6   Time: 1:39:58
Num steps: 975000   Return: 297.3   Time: 1:40:30
Num steps: 980000   Return: 291.0   Time: 1:41:02
Num steps: 985000   Return: 305.7   Time: 1:41:33
Num steps: 990000   Return: 284.5   Time: 1:42:04
Num steps: 995000   Return: 300.2   Time: 1:42:35
Num steps: 1000000   Return: 289.1   Time: 1:43:10
Num steps: 1005000   Return: 297.9   Time: 1:43:41
Num steps: 1010000   Return: 290.0   Time: 1:44:13
Num steps: 1015000   Return: 284.2   Time: 1:44:44
Num steps: 1020000   Return: 283.0   Time: 1:45:15
Num steps: 1025000   Return: 285.7   Time: 1:45:46
Num steps: 1030000   Return: 299.1   Time: 1:46:17
Num steps: 1035000   Return: 270.3   Time: 1:46:49
Num steps: 1040000   Return: 278.9   Time: 1:47:20
Num steps: 1045000   Return: 280.9   Time: 1:47:51
Num steps: 1050000   Return: 336.7   Time: 1:48:26
Num steps: 1055000   Return: 325.6   Time: 1:48:58
Num steps: 1060000   Return: 339.0   Time: 1:49:30
Num steps: 1065000   Return: 335.2   Time: 1:50:01
Num steps: 1070000   Return: 349.6   Time: 1:50:33
Num steps: 1075000   Return: 337.1   Time: 1:51:05
Num steps: 1080000   Return: 332.4   Time: 1:51:36
Num steps: 1085000   Return: 345.7   Time: 1:52:07
Num steps: 1090000   Return: 324.0   Time: 1:52:39
Num steps: 1095000   Return: 337.4   Time: 1:53:11
Num steps: 1100000   Return: 326.5   Time: 1:53:46
Num steps: 1105000   Return: 324.6   Time: 1:54:17
Num steps: 1110000   Return: 331.1   Time: 1:54:48
Num steps: 1115000   Return: 312.0   Time: 1:55:20
Num steps: 1120000   Return: 312.8   Time: 1:55:52
Num steps: 1125000   Return: 317.6   Time: 1:56:24
Num steps: 1130000   Return: 317.5   Time: 1:56:54
Num steps: 1135000   Return: 336.9   Time: 1:57:26
Num steps: 1140000   Return: 314.1   Time: 1:57:58
Num steps: 1145000   Return: 309.7   Time: 1:58:30
Num steps: 1150000   Return: 409.9   Time: 1:59:05
Num steps: 1155000   Return: 392.2   Time: 1:59:37
Num steps: 1160000   Return: 363.5   Time: 2:00:09
Num steps: 1165000   Return: 405.6   Time: 2:00:41
