Num steps: 595000   Return: 664.1   Time: 1:24:24
Num steps: 600000   Return: 682.0   Time: 1:25:12
Num steps: 605000   Return: 657.0   Time: 1:25:55
Num steps: 610000   Return: 653.3   Time: 1:26:38
Num steps: 615000   Return: 646.9   Time: 1:27:20
Num steps: 620000   Return: 655.1   Time: 1:28:02
Num steps: 625000   Return: 671.2   Time: 1:28:44
Num steps: 630000   Return: 658.4   Time: 1:29:25
Num steps: 635000   Return: 669.9   Time: 1:30:06
Num steps: 640000   Return: 643.2   Time: 1:30:48
Num steps: 645000   Return: 656.6   Time: 1:31:29
Num steps: 650000   Return: 571.5   Time: 1:32:15
Num steps: 655000   Return: 605.6   Time: 1:32:57
Num steps: 660000   Return: 584.0   Time: 1:33:39
Num steps: 665000   Return: 576.2   Time: 1:34:23
Num steps: 670000   Return: 580.9   Time: 1:35:04
Num steps: 675000   Return: 575.1   Time: 1:35:45
Num steps: 680000   Return: 574.7   Time: 1:36:25
Num steps: 685000   Return: 596.5   Time: 1:37:07
Num steps: 690000   Return: 596.4   Time: 1:37:47
Num steps: 695000   Return: 585.5   Time: 1:38:28
Num steps: 700000   Return: 658.9   Time: 1:39:14
Num steps: 705000   Return: 589.8   Time: 1:39:58
Num steps: 710000   Return: 660.3   Time: 1:40:40
Num steps: 715000   Return: 556.2   Time: 1:41:24
Num steps: 720000   Return: 591.1   Time: 1:42:08
Num steps: 725000   Return: 724.3   Time: 1:42:49
Num steps: 730000   Return: 586.9   Time: 1:43:33
Num steps: 735000   Return: 590.7   Time: 1:44:18
Num steps: 740000   Return: 586.3   Time: 1:45:01
Num steps: 745000   Return: 636.1   Time: 1:45:44
Num steps: 750000   Return: 541.2   Time: 1:46:31
Num steps: 755000   Return: 571.5   Time: 1:47:13
Num steps: 760000   Return: 569.2   Time: 1:47:57
Num steps: 765000   Return: 569.9   Time: 1:48:39
Num steps: 770000   Return: 541.3   Time: 1:49:20
Num steps: 775000   Return: 541.2   Time: 1:50:01
Num steps: 780000   Return: 556.1   Time: 1:50:45
Num steps: 785000   Return: 564.4   Time: 1:51:29
Num steps: 790000   Return: 515.2   Time: 1:52:12
Num steps: 795000   Return: 543.2   Time: 1:52:53
Num steps: 800000   Return: 560.2   Time: 1:53:38
Num steps: 805000   Return: 573.7   Time: 1:54:19
Num steps: 810000   Return: 574.1   Time: 1:55:00
Num steps: 815000   Return: 572.3   Time: 1:55:41
Num steps: 820000   Return: 574.4   Time: 1:56:22
Num steps: 825000   Return: 559.1   Time: 1:57:03
Num steps: 830000   Return: 558.4   Time: 1:57:45
Num steps: 835000   Return: 558.5   Time: 1:58:27
Num steps: 840000   Return: 542.4   Time: 1:59:08
Num steps: 845000   Return: 546.6   Time: 1:59:50
Num steps: 850000   Return: 454.9   Time: 2:00:37
Num steps: 855000   Return: 456.1   Time: 2:01:21
Num steps: 860000   Return: 470.7   Time: 2:02:04
Num steps: 865000   Return: 471.0   Time: 2:02:46
Num steps: 870000   Return: 454.3   Time: 2:03:27
Num steps: 875000   Return: 470.6   Time: 2:04:10
Num steps: 880000   Return: 470.9   Time: 2:04:52
Num steps: 885000   Return: 470.7   Time: 2:05:34
Num steps: 890000   Return: 484.6   Time: 2:06:16
Num steps: 895000   Return: 486.5   Time: 2:06:59
Num steps: 900000   Return: 404.2   Time: 2:07:45
Num steps: 905000   Return: 421.0   Time: 2:08:28
Num steps: 910000   Return: 436.5   Time: 2:09:10
Num steps: 915000   Return: 435.2   Time: 2:09:54
Num steps: 920000   Return: 419.3   Time: 2:10:35
Num steps: 925000   Return: 431.0   Time: 2:11:17
Num steps: 930000   Return: 422.3   Time: 2:11:58
Num steps: 935000   Return: 435.5   Time: 2:12:40
Num steps: 940000   Return: 388.4   Time: 2:13:22
Num steps: 945000   Return: 423.0   Time: 2:14:06
Num steps: 950000   Return: 376.8   Time: 2:14:56
Num steps: 955000   Return: 381.9   Time: 2:15:39
Num steps: 960000   Return: 396.7   Time: 2:16:22
Num steps: 965000   Return: 395.6   Time: 2:17:06
Num steps: 970000   Return: 394.7   Time: 2:17:48
Num steps: 975000   Return: 380.7   Time: 2:18:31
Num steps: 980000   Return: 393.0   Time: 2:19:16
Num steps: 985000   Return: 379.2   Time: 2:19:59
Num steps: 990000   Return: 393.1   Time: 2:20:44
Num steps: 995000   Return: 395.4   Time: 2:21:28
Num steps: 1000000   Return: 344.2   Time: 2:22:16
Num steps: 1005000   Return: 365.3   Time: 2:23:00
Num steps: 1010000   Return: 365.9   Time: 2:23:43
Num steps: 1015000   Return: 342.1   Time: 2:24:26
