Num steps: 595000   Return: 325.2   Time: 0:59:27
Num steps: 600000   Return: 350.2   Time: 1:00:01
Num steps: 605000   Return: 362.5   Time: 1:00:33
Num steps: 610000   Return: 336.6   Time: 1:01:03
Num steps: 615000   Return: 491.5   Time: 1:01:34
Num steps: 620000   Return: 392.6   Time: 1:02:05
Num steps: 625000   Return: 320.8   Time: 1:02:35
Num steps: 630000   Return: 368.8   Time: 1:03:06
Num steps: 635000   Return: 342.6   Time: 1:03:37
Num steps: 640000   Return: 344.6   Time: 1:04:08
Num steps: 645000   Return: 394.0   Time: 1:04:39
Num steps: 650000   Return: 333.1   Time: 1:05:13
Num steps: 655000   Return: 342.6   Time: 1:05:44
Num steps: 660000   Return: 340.9   Time: 1:06:14
Num steps: 665000   Return: 346.8   Time: 1:06:44
Num steps: 670000   Return: 370.3   Time: 1:07:15
Num steps: 675000   Return: 315.7   Time: 1:07:46
Num steps: 680000   Return: 375.5   Time: 1:08:17
Num steps: 685000   Return: 365.8   Time: 1:08:48
Num steps: 690000   Return: 337.7   Time: 1:09:18
Num steps: 695000   Return: 331.9   Time: 1:09:49
Num steps: 700000   Return: 342.6   Time: 1:10:23
Num steps: 705000   Return: 349.2   Time: 1:10:54
Num steps: 710000   Return: 339.6   Time: 1:11:25
Num steps: 715000   Return: 341.9   Time: 1:11:56
Num steps: 720000   Return: 318.3   Time: 1:12:26
Num steps: 725000   Return: 309.5   Time: 1:12:57
Num steps: 730000   Return: 324.1   Time: 1:13:28
Num steps: 735000   Return: 323.2   Time: 1:13:58
Num steps: 740000   Return: 324.1   Time: 1:14:29
Num steps: 745000   Return: 386.8   Time: 1:15:00
Num steps: 750000   Return: 302.6   Time: 1:15:34
Num steps: 755000   Return: 314.1   Time: 1:16:05
Num steps: 760000   Return: 282.2   Time: 1:16:35
Num steps: 765000   Return: 286.0   Time: 1:17:06
Num steps: 770000   Return: 292.5   Time: 1:17:37
Num steps: 775000   Return: 271.7   Time: 1:18:08
Num steps: 780000   Return: 297.4   Time: 1:18:38
Num steps: 785000   Return: 288.5   Time: 1:19:09
Num steps: 790000   Return: 291.9   Time: 1:19:39
Num steps: 795000   Return: 283.2   Time: 1:20:09
Num steps: 800000   Return: 328.2   Time: 1:20:42
Num steps: 805000   Return: 348.8   Time: 1:21:12
Num steps: 810000   Return: 316.7   Time: 1:21:43
Num steps: 815000   Return: 362.4   Time: 1:22:14
Num steps: 820000   Return: 330.3   Time: 1:22:45
Num steps: 825000   Return: 326.4   Time: 1:23:15
Num steps: 830000   Return: 321.5   Time: 1:23:46
Num steps: 835000   Return: 327.7   Time: 1:24:17
